y_salary_m_hu,y_inglab_m_ha,clase,estrato1,sex,age,regsalud,maxeduclevel,p6426,sizefirm,depto,hoursworkusual,cuentapropia,totalhoursworked,relab,formal
4861.111328125,4861.111328125,1,2,1,51,3.0,5.0,60.0,2.0,11,48.0,0,48.0,1.0,0.0
,,1,2,0,76,3.0,3.0,360.0,1.0,11,30.0,1,30.0,4.0,0.0
,,1,3,1,47,3.0,6.0,120.0,1.0,11,60.0,1,60.0,4.0,0.0
,,1,3,0,56,1.0,6.0,6.0,1.0,11,8.0,1,8.0,4.0,0.0
3586.12426757812,4290.0458984375,1,3,0,47,1.0,6.0,108.0,5.0,11,48.0,0,48.0,1.0,1.0
5250.0,6341.64990234375,1,3,0,29,1.0,6.0,14.0,4.0,11,40.0,0,40.0,1.0,1.0
,,1,3,0,52,1.0,6.0,300.0,2.0,11,54.0,0,54.0,5.0,0.0
,,1,3,1,63,1.0,6.0,420.0,2.0,11,48.0,0,48.0,5.0,0.0
2430.5556640625,2883.50732421875,1,3,0,25,1.0,6.0,48.0,1.0,11,60.0,0,60.0,3.0,1.0
,,1,3,1,32,1.0,7.0,36.0,1.0,11,50.0,1,50.0,4.0,1.0
3796.52783203125,4545.94921875,1,3,0,24,1.0,6.0,24.0,5.0,11,48.0,0,48.0,1.0,1.0
3796.52783203125,4575.11572265625,1,3,1,27,1.0,6.0,24.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,3,0,63,3.0,3.0,300.0,2.0,11,60.0,1,60.0,4.0,0.0
,,1,3,1,71,3.0,3.0,300.0,2.0,11,60.0,1,60.0,4.0,0.0
38888.890625,46547.84375,1,4,1,52,1.0,7.0,174.0,5.0,11,45.0,0,45.0,2.0,1.0
26962.962890625,31206.173828125,1,4,0,52,1.0,7.0,60.0,5.0,11,45.0,0,45.0,2.0,1.0
6416.66650390625,7104.38427734375,1,4,1,25,1.0,7.0,6.0,5.0,11,48.0,0,48.0,1.0,1.0
